,3251
" new york, usa",2
"watertown, new york, usa",2
"fano, italy",2
romania,2
"makassar, sulawesi, indonesia",2
"singapore, china",2
"sumatra, indonesia",2
"winfield, kansas, usa",2
"statesville, nc, usa",2
"ignacio, ca, usa",2
"secaucus, nj, usa",2
"garnerville, new york, usa",2
"columbus, ohio, usa",2
"cornholme, england",2
"wales, england",2
"plezen, czechoslovakia",2
"watertown, s. dakota, usa",2
"washington state, usa",2
"englewood cliffs, new jersey, usa",2
"glendale/tujunga, usa",2
"düsseldorf, germany",2
"philadelphia, pennsylvania, usa",2
"girokonto, germany",2
"peloponesus, greece",2
"mt. parnaseus (nearby), greece",2
"munich , germany",2
"wall., n. arcot. madras, india",2
northern & north-eastern brazil,2
"north island, new zealand",2
somalia,2
"las animas county, colorado, usa",2
"champagne, france",2
pakistan,2
"san luis obispo, ca, usa",2
"wiesbaden, germany",2
"seattle, wa, usa",2
"bancroft, ontario, canada",2
"gold hills, ut, usa",2
"dover, england",2
"santa fe, nm, usa",2
"calabassas, ca, usa",2
"la paz county, az, usa",2
"greenlee county, az, usa",2
"philadelphia, pa, usa",2
"allentown, pa, usa",2
"coventry, ri, usa",2
"aichstetten, germany (from monte amiata)",2
"monte amiata, italy",2
malawi,2
southeast asia,2
"castille, spain",2
marocco,2
e.u.,2
scandanavia,2
copan,2
algeria,2
tenerife,2
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: n/a,2
state/country: michigan; county: houghton; town/area: keeweenaw; mine/site: n/a,2
state/country: michigan; county: n/a; town/area: n/a; mine/site: n/a,2
state/country: colorado; county: san juan; town/area: silverton; mine/site: n/a,2
state/country: nevada; county: eureka; town/area: beowowe; mine/site: n/a,2
state/country: michigan; county: houghton; town/area: keeweenaw; mine/site: mohawk,2
state/country: montana; county: silver bow; town/area: butte; mine/site: mt.con,2
state/country: nevada; county: white pine; town/area: ward; mine/site: n/a,2
state/country: russia; county: primorsky kraj; town/area: dalnegorsk; mine/site: n/a,2
state/country: kentucky; county: boyle; town/area: danville; mine/site: n/a,2
state/country: california; county: san bernardino; town/area: lucerne valley; mine/site: white knob quarry,2
state/country: california; county: inyo; town/area: darwin; mine/site: n/a,2
state/country: china; county: hunan; town/area: n/a; mine/site: n/a,2
state/country: nevada; county: washoe; town/area: steamboat springs; mine/site: n/a,2
state/country: colorado; county: teller; town/area: cripple creek; mine/site: n/a,2
state/country: michigan; county: marquette; town/area: n/a; mine/site: michigan gold mine,2
state/country: michigan; county: iron; town/area: iron river; mine/site: cannon,2
state/country: michigan; county: dickinson; town/area: felch; mine/site: felch  marcasite locality,2
state/country: michigan; county: dickinson; town/area: n/a; mine/site: groveland,2
state/country: idaho; county: lemhi; town/area: cobalt; mine/site: n/a,2
state/country: china; county: south hunan; town/area: cheng zhu city; mine/site: yao guang xiang mine,2
state/country: china; county: south hunan; town/area: cheng zhu city; mine/site: yao guang xiang,2
state/country: germany; county: saxony; town/area: schneeberg; mine/site: n/a,2
state/country: canada; county: ontario; town/area: cobalt; mine/site: n/a,2
state/country: colorado; county: park; town/area: hall valley; mine/site: missouri,2
state/country: mexico; county: zacatecas; town/area: n/a; mine/site: n/a,2
state/country: canada; county: yukon; town/area: big fish river; mine/site: n/a,2
state/country: russia; county: kadandgai; town/area: n/a; mine/site: n/a,2
state/country: california; county: san bernardino; town/area: trona; mine/site: n/a,2
state/country: england; county: cumberland; town/area: nenthead alston; mine/site: coal clough,2
state/country: arizona; county: cochise; town/area: little dragoon mts.; mine/site: donna anna claim,2
state/country: utah; county: beaver; town/area: beaver; mine/site: n/a,2
state/country: greenland; county: frederickshaab; town/area: arsuk fjord; mine/site: ivigtut,2
state/country: greece; county: laurion; town/area: hotelbucht; mine/site: n/a,2
state/country: colorado; county: n/a; town/area: n/a; mine/site: n/a,2
"state/country: michigan; county: marquette; town/area: champion; mine/site: champion, beacon hill",2
state/country: japan; county: iwate; town/area: noda mura; mine/site: noda tamagawa,2
state/country: russia; county: kola peninsula; town/area: n/a; mine/site: n/a,2
state/country: india; county: karnataka; town/area: mysore district; mine/site: n/a,2
state/country: massachusetts; county: hampden; town/area: chester; mine/site: emery,2
state/country: tanzania; county: n/a; town/area: longido; mine/site: ruby,2
state/country: n/a; county: n/a; town/area: n/a; mine/site: n/a,2
state/country: tanzania; county: n/a; town/area: n/a; mine/site: n/a,2
state/country: brazil; county: minas gerias; town/area: aracuari; mine/site: n/a,2
state/country: minnesota; county: itasca; town/area: taconite; mine/site: diamond iron mine,2
state/country: mexico; county: durango; town/area: cerro de mercado; mine/site: n/a,2
state/country: nevada; county: esmeralda; town/area: goldfield; mine/site: n/a,2
state/country: michigan; county: houghton; town/area: houghton; mine/site: isle royale,2
state/country: brazil; county: minas gerias; town/area: aracuai district; mine/site: moho redondo,2
state/country: california; county: lake; town/area: n/a; mine/site: n/a,2
state/country: colorado; county: lake; town/area: leadville; mine/site: black cloud,2
state/country: pennsylvania; county: chester; town/area: n/a; mine/site: n/a,2
state/country: montana; county: n/a; town/area: n/a; mine/site: n/a,2
